model,freeze,head_type,subset_ratio,pct_data,seed,n_train,f1,auroc,clip_f1,clip_auroc,run_id
vits16_imagenet,finetune,linear,0.25,25,42,2050,0.655,0.919,0.655,0.919,0fa5283853024efa864d233b8f9beeec
resnet50_imagenet,finetune,linear,0.25,25,42,2050,0.679,0.913,0.679,0.913,c51455a8e61b49329c6414231aedd074
vits16_gastronet,finetune,linear,0.25,25,42,2050,0.728,0.933,0.728,0.933,89e6a1fef89c4f039d7466ff9596eac2
resnet50_200K,finetune,linear,0.25,25,42,2050,0.683,0.923,0.683,0.923,64d2812666c94cbd98354db41c9d1a84
resnet50_1M,finetune,linear,0.25,25,42,2050,0.713,0.92,0.713,0.92,036b7cb549ea49a5b353ad4f05cdbc9a
resnet50_5M,finetune,linear,0.25,25,42,2050,0.71,0.928,0.71,0.928,9c92eee1b3d64cc7a99bc280cd84d14e
efficientnetb0,finetune,linear,0.25,25,84,2050,0.673,0.906,0.673,0.906,6ec3844ecd264596a9564742dc148434
vits16_imagenet,finetune,linear,0.25,25,84,2050,0.665,0.92,0.665,0.92,63af1758a15b4617b34d231904a66203
resnet50_imagenet,finetune,linear,0.25,25,84,2050,0.687,0.91,0.687,0.91,d8fac122e102473bbda851ddd92cd4e4
vits16_gastronet,finetune,linear,0.25,25,84,2050,0.721,0.93,0.721,0.93,7a67929b9eba4bcda8c289b5c61d65c1
resnet50_200K,finetune,linear,0.25,25,84,2050,0.676,0.921,0.676,0.921,fe9b0841f669469daf553da09fd6d759
resnet50_1M,finetune,linear,0.25,25,84,2050,0.677,0.922,0.677,0.922,3b1c717bd46843bb8d42150e148b7f6b
resnet50_5M,finetune,linear,0.25,25,84,2050,0.674,0.925,0.674,0.925,b29f70177ab2438085050eff97bcc45f
efficientnetb0,finetune,linear,0.25,25,128,2050,0.65,0.901,0.65,0.901,735b6a9b624b4d068964f84e4372f48d
vits16_imagenet,finetune,linear,0.25,25,128,2050,0.684,0.929,0.684,0.929,7c1ad062aaf24461b9f5f1730111a499
resnet50_imagenet,finetune,linear,0.25,25,128,2050,0.662,0.906,0.662,0.906,7ee1d5f4547342f9a7219ecfe5eccb0c
vits16_gastronet,finetune,linear,0.25,25,128,2050,0.7,0.934,0.7,0.934,86a7213602c940999225a928625d923f
resnet50_200K,finetune,linear,0.25,25,128,2050,0.692,0.916,0.692,0.916,241f89d9e53e478d8e80308c295295a0
resnet50_1M,finetune,linear,0.25,25,128,2050,0.703,0.924,0.703,0.924,94ca589be236451a945582e64bcc2c81
resnet50_5M,finetune,linear,0.25,25,128,2050,0.708,0.929,0.708,0.929,5d9d0938808844439bd222230350e657
efficientnetb0,finetune,linear,0.25,25,256,2050,0.667,0.907,0.667,0.907,8240d0b87bd649c9b5ba3378808f5e6b
vits16_imagenet,finetune,linear,0.25,25,256,2050,0.648,0.922,0.648,0.922,37d9d63ea1434541a9e777ac44701c9f
resnet50_imagenet,finetune,linear,0.25,25,256,2050,0.664,0.913,0.664,0.913,c0f0087b478b4583ab13cb15da844112
vits16_gastronet,finetune,linear,0.25,25,256,2050,0.694,0.929,0.694,0.929,0be31decaf5f4db58a88f729fb22890c
resnet50_200K,finetune,linear,0.25,25,256,2050,0.666,0.914,0.666,0.914,fcadd70e91b94fd9a34e3c0b9f4abafa
resnet50_1M,finetune,linear,0.25,25,256,2050,0.686,0.918,0.686,0.918,fac2767489a34d9da7a041dbc1e3aa72
resnet50_5M,finetune,linear,0.25,25,256,2050,0.677,0.919,0.677,0.919,3cfb9324d46943f993fa3d4337cc82be
efficientnetb0,finetune,linear,0.25,25,364,2050,0.659,0.911,0.659,0.911,383a31521622409ba0dc4c9940a3ec6f
vits16_imagenet,finetune,linear,0.25,25,364,2050,0.679,0.92,0.679,0.92,2a2b85a35787448683ec92786cf17f5a
resnet50_imagenet,finetune,linear,0.25,25,364,2050,0.697,0.911,0.697,0.911,d0e6e50ef95b4bcca23eb1b06dbfc36a
vits16_gastronet,finetune,linear,0.25,25,364,2050,0.7,0.933,0.7,0.933,2d5bf288167c42aa957705a17e39f6b9
resnet50_200K,finetune,linear,0.25,25,364,2050,0.697,0.918,0.697,0.918,4f04eebe3c6d4ef5aad9d495e34a156e
resnet50_1M,finetune,linear,0.25,25,364,2050,0.709,0.921,0.709,0.921,0e9a38b041b14780b0e41689a622b7b7
resnet50_5M,finetune,linear,0.25,25,364,2050,0.704,0.923,0.704,0.923,eeb9b26875ba4ad8a86709abfcc35274
efficientnetb0,finetune,linear,0.25,25,420,2050,0.653,0.905,0.653,0.905,4cd9cd3a6a934f0490c75aed0b3322f3
vits16_imagenet,finetune,linear,0.25,25,420,2050,0.66,0.911,0.66,0.911,0bbe953184834470b71425e6822a9cc1
resnet50_imagenet,finetune,linear,0.25,25,420,2050,0.687,0.912,0.687,0.912,6f40c1a617804b2c88231b2e99bc1511
vits16_gastronet,finetune,linear,0.25,25,420,2050,0.709,0.932,0.709,0.932,1dd26955a15c43c2a1a0a913ef16de78
resnet50_200K,finetune,linear,0.25,25,420,2050,0.691,0.927,0.691,0.927,1ea9d0efd0654cdd88715ea32fdd23a3
resnet50_1M,finetune,linear,0.25,25,420,2050,0.682,0.922,0.682,0.922,197aec82a66b479b9ec81485b452fe99
resnet50_5M,finetune,linear,0.25,25,420,2050,0.689,0.921,0.689,0.921,cb7630c22fa543cba55b6cfe5a53cf1b
efficientnetb0,finetune,linear,0.5,50,42,4099,0.655,0.915,0.655,0.915,b69a59dd194640a4ab87f59cc360ab9a
vits16_imagenet,finetune,linear,0.5,50,42,4099,0.69,0.93,0.69,0.93,c8d70c3f21fa4178a5dfd90ed0ff373b
resnet50_imagenet,finetune,linear,0.5,50,42,4099,0.704,0.921,0.704,0.921,9e9baa690ea644d6ba47914ca01fb5f3
vits16_gastronet,finetune,linear,0.5,50,42,4099,0.705,0.938,0.705,0.938,2b2dcf1831434557baf82945f0bff4d0
resnet50_200K,finetune,linear,0.5,50,42,4099,0.714,0.931,0.714,0.931,712065d263cc474c862048d54d44d923
resnet50_1M,finetune,linear,0.5,50,42,4099,0.719,0.93,0.719,0.93,e16c2ef13a6a4a6ba34040b94e2ea549
resnet50_5M,finetune,linear,0.5,50,42,4099,0.736,0.937,0.736,0.937,d7b6e927e80b44e68b404132175b256e
efficientnetb0,finetune,linear,0.5,50,84,4099,0.672,0.914,0.672,0.914,d74f8703af0f418a9cf6fefce22c9e57
vits16_imagenet,finetune,linear,0.5,50,84,4099,0.682,0.925,0.682,0.925,8fd157342e424f9fb7a3405f9fbd9f40
resnet50_imagenet,finetune,linear,0.5,50,84,4099,0.685,0.921,0.685,0.921,1b3023dac26a47569e94b934efc85e7c
vits16_gastronet,finetune,linear,0.5,50,84,4099,0.712,0.936,0.712,0.936,bc8f9b477b9949c786148493ad151f9c
resnet50_200K,finetune,linear,0.5,50,84,4099,0.691,0.929,0.691,0.929,b123eb59e1d94e0d8ce8498219806dee
resnet50_1M,finetune,linear,0.5,50,84,4099,0.696,0.928,0.696,0.928,a996831c88c5467497662c24d97a04a5
resnet50_5M,finetune,linear,0.5,50,84,4099,0.704,0.93,0.704,0.93,f427ecc3d6e94c659e7937236d8abfcb
efficientnetb0,finetune,linear,0.5,50,128,4099,0.669,0.919,0.669,0.919,4326096d76e14ee899a6dbc233c66abd
vits16_imagenet,finetune,linear,0.5,50,128,4099,0.69,0.932,0.69,0.932,b729b6840bf341e18c1b4264baaec49f
resnet50_imagenet,finetune,linear,0.5,50,128,4099,0.678,0.924,0.678,0.924,fa4c413b2547436b859036025bb7b8f6
vits16_gastronet,finetune,linear,0.5,50,128,4099,0.726,0.942,0.726,0.942,c8d940c792e849e5984e7c086d210bdf
resnet50_200K,finetune,linear,0.5,50,128,4099,0.7,0.931,0.7,0.931,ca392020d29b46bcad151911b2959fc7
resnet50_1M,finetune,linear,0.5,50,128,4099,0.69,0.93,0.69,0.93,2acb4c8f7d2648f589eb426c61b2a0f6
resnet50_5M,finetune,linear,0.5,50,128,4099,0.724,0.939,0.724,0.939,e8005eaf5b984c6081fd8a5ed2d9ede4
