model,auroc_mean,auroc_std,f1_mean,f1_std,clip_auroc_mean
vits16_gastronet,0.943,0.0012649110640673,0.7294999999999999,0.0088713020464867,0.943
resnet50_5M,0.9401666666666668,0.0016020819787597,0.7253333333333334,0.0059553897157672,0.9401666666666668
resnet50_200K,0.9341666666666668,0.0023166067138525,0.7093333333333334,0.0080415587212098,0.9341666666666668
vits16_imagenet,0.9341666666666668,0.0019407902170679,0.7004999999999999,0.0083126409762481,0.9341666666666668
resnet50_1M,0.9315,0.003885871845545,0.7103333333333333,0.004501851470969,0.9315
resnet50_imagenet,0.927,0.0016733200530681,0.6971666666666666,0.0124966662221036,0.927
efficientnetb0,0.9235,0.000836660026534,0.6825000000000001,0.0089386799920345,0.9235
