pct_data,model,auroc_mean,auroc_std,f1_mean,f1_std
10,resnet50_5M,0.7928333333333333,0.0699668969346695,0.4726666666666667,0.0530798141167305
25,efficientnetb0,0.8833333333333333,0.0434403805999287,0.6105,0.0803909198852706
50,efficientnetb0,0.917,0.0222081066279861,0.677,0.0289136645896019
75,efficientnetb0,0.9253333333333336,0.0090700973901423,0.6861666666666667,0.051324133374726
100,efficientnetb0,0.9298333333333332,0.0102062072615965,0.7040000000000001,0.0411290651486269
