model,freeze,head_type,subset_ratio,pct_data,seed,n_train,f1,auroc,tuned_threshold,tuned_sensitivity,tuned_specificity,tuned_f1,clip_f1,clip_auroc,checkpoint_dir
resnet50_5M,finetune,linear,1.0,100,84,2812,0.626,0.899,0.11,0.8777292576419214,0.7064846416382252,0.5843023255813954,0.7272727272727273,0.8888888888888888,output/ulcer/models/resnet50_5M/0/linear/20260606_015905
efficientnetb0,finetune,linear,1.0,100,128,2812,0.79,0.954,0.29,0.7860262008733624,0.944254835039818,0.7860262008733624,0.8571428571428571,0.954861111111111,output/ulcer/models/efficientnetb0/0/linear/20260606_020034
vits16_imagenet,finetune,linear,1.0,100,128,2812,0.7,0.906,0.1,0.7903930131004366,0.8794084186575654,0.7015503875968992,0.7272727272727273,0.84375,output/ulcer/models/vits16_imagenet/0/linear/20260606_020458
resnet50_imagenet,finetune,linear,1.0,100,128,2812,0.681,0.872,0.42,0.7117903930131004,0.8805460750853242,0.6559356136820925,0.7272727272727273,0.8611111111111112,output/ulcer/models/resnet50_imagenet/0/linear/20260606_020913
vits16_gastronet,finetune,linear,1.0,100,128,2812,0.537,0.834,0.1,0.611353711790393,0.820250284414107,0.5313092979127134,0.6363636363636364,0.798611111111111,output/ulcer/models/vits16_gastronet/0/linear/20260606_021039
resnet50_200K,finetune,linear,1.0,100,128,2812,0.582,0.868,0.2,0.7248908296943232,0.8065984072810012,0.5876106194690266,0.6363636363636364,0.8368055555555555,output/ulcer/models/resnet50_200K/0/linear/20260606_021542
resnet50_1M,finetune,linear,1.0,100,128,2812,0.541,0.84,0.49,0.6244541484716157,0.820250284414107,0.539622641509434,0.5454545454545454,0.829861111111111,output/ulcer/models/resnet50_1M/0/linear/20260606_021925
resnet50_5M,finetune,linear,1.0,100,128,2812,0.593,0.872,0.1,0.8864628820960698,0.6552901023890785,0.5523809523809524,0.6666666666666666,0.8576388888888888,output/ulcer/models/resnet50_5M/0/linear/20260606_022340
efficientnetb0,finetune,linear,1.0,100,256,2812,0.636,0.908,0.25,0.851528384279476,0.8521046643913538,0.703971119133574,0.7272727272727273,0.920138888888889,output/ulcer/models/efficientnetb0/0/linear/20260606_022921
vits16_imagenet,finetune,linear,1.0,100,256,2812,0.59,0.857,0.1,0.7030567685589519,0.838452787258248,0.6052631578947368,0.6363636363636364,0.8125,output/ulcer/models/vits16_imagenet/0/linear/20260606_022925
resnet50_imagenet,finetune,linear,1.0,100,256,2812,0.604,0.855,0.35,0.7510917030567685,0.825938566552901,0.6209386281588448,0.5714285714285714,0.829861111111111,output/ulcer/models/resnet50_imagenet/0/linear/20260606_023423
vits16_gastronet,finetune,linear,1.0,100,256,2812,0.624,0.872,0.1,0.7554585152838428,0.8111490329920364,0.6091549295774648,0.6956521739130435,0.8576388888888888,output/ulcer/models/vits16_gastronet/0/linear/20260606_023633
resnet50_200K,finetune,linear,1.0,100,256,2812,0.605,0.88,0.27,0.7379912663755459,0.7997724687144482,0.5888501742160279,0.6956521739130435,0.8680555555555556,output/ulcer/models/resnet50_200K/0/linear/20260606_024112
resnet50_1M,finetune,linear,1.0,100,256,2812,0.584,0.874,0.14,0.9082969432314411,0.70193401592719,0.5951359084406295,0.6666666666666666,0.875,output/ulcer/models/resnet50_1M/0/linear/20260606_024406
efficientnetb0,finetune,linear,1.0,100,364,2812,0.707,0.933,0.68,0.7074235807860262,0.9124004550625711,0.6923076923076923,0.75,0.9409722222222222,output/ulcer/models/efficientnetb0/0/linear/20260606_024956
resnet50_5M,finetune,linear,1.0,100,256,2812,0.644,0.882,0.49,0.7685589519650655,0.8361774744027304,0.6411657559198543,0.72,0.861111111111111,output/ulcer/models/resnet50_5M/0/linear/20260606_024912
resnet50_imagenet,finetune,linear,1.0,100,364,2812,0.6,0.858,0.31,0.7379912663755459,0.8282138794084186,0.6156648451730419,0.6,0.8402777777777778,output/ulcer/models/resnet50_imagenet/0/linear/20260606_025826
vits16_imagenet,finetune,linear,1.0,100,364,2812,0.725,0.908,0.33,0.7161572052401747,0.9351535836177475,0.7288888888888889,0.7272727272727273,0.8576388888888888,output/ulcer/models/vits16_imagenet/0/linear/20260606_025625
vits16_gastronet,finetune,linear,1.0,100,364,2812,0.676,0.888,0.1,0.868995633187773,0.7736063708759955,0.6347687400318979,0.75,0.9027777777777778,output/ulcer/models/vits16_gastronet/0/linear/20260606_030501
resnet50_200K,finetune,linear,1.0,100,364,2812,0.591,0.896,0.44,0.74235807860262,0.8031854379977247,0.5944055944055944,0.6666666666666666,0.8958333333333334,output/ulcer/models/resnet50_200K/0/linear/20260606_030701
resnet50_5M,finetune,linear,1.0,100,364,2812,0.635,0.884,0.18,0.8034934497816594,0.7554038680318543,0.5859872611464968,0.72,0.8715277777777778,output/ulcer/models/resnet50_5M/0/linear/20260606_031313
resnet50_1M,finetune,linear,1.0,100,364,2812,0.648,0.893,0.46,0.7729257641921398,0.8339021615472128,0.6413043478260869,0.72,0.8923611111111112,output/ulcer/models/resnet50_1M/0/linear/20260606_030937
efficientnetb0,finetune,linear,1.0,100,420,2812,0.714,0.928,0.25,0.7816593886462883,0.9032992036405005,0.7261663286004056,0.7,0.9409722222222222,output/ulcer/models/efficientnetb0/0/linear/20260606_031935
vits16_imagenet,finetune,linear,1.0,100,420,2812,0.605,0.876,0.11,0.7554585152838428,0.8179749715585893,0.6156583629893239,0.6666666666666666,0.829861111111111,output/ulcer/models/vits16_imagenet/0/linear/20260606_032055
resnet50_imagenet,finetune,linear,1.0,100,420,2812,0.606,0.868,0.37,0.7379912663755459,0.8168373151308305,0.6046511627906976,0.5714285714285714,0.8680555555555556,output/ulcer/models/resnet50_imagenet/0/linear/20260606_032738
vits16_gastronet,finetune,linear,1.0,100,420,2812,0.577,0.886,0.89,0.7336244541484717,0.8100113765642776,0.5957446808510638,0.6666666666666666,0.861111111111111,output/ulcer/models/vits16_gastronet/0/linear/20260606_032814
resnet50_200K,finetune,linear,1.0,100,420,2812,0.597,0.876,0.16,0.7205240174672489,0.8065984072810012,0.5851063829787234,0.6363636363636364,0.8506944444444444,output/ulcer/models/resnet50_200K/0/linear/20260606_033358
resnet50_1M,finetune,linear,1.0,100,420,2812,0.598,0.869,0.41,0.7074235807860262,0.825938566552901,0.5955882352941176,0.6666666666666666,0.8645833333333334,output/ulcer/models/resnet50_1M/0/linear/20260606_033613
resnet50_5M,finetune,linear,1.0,100,420,2812,0.595,0.864,0.79,0.5109170305676856,0.9169510807736063,0.5584725536992841,0.6666666666666666,0.8611111111111112,output/ulcer/models/resnet50_5M/0/linear/20260606_034459
